1;919;438
2;627;495
3;648;506
4;716;515
5;773;499
6;889;477
7;908;464
8;910;460
9;616;489
10;576;474
11;482;455
12;444;454
13;330;599
14;809;559
15;764;495
16;726;448
17;723;444
18;720;442
19;714;440
20;611;425
21;588;440
22;583;476
23;746;508
24;536;528
25;840;495
26;871;539
27;906;580
28;944;574
29;896;589
30;729;513
31;774;569
32;806;498
33;810;508
34;825;528
35;1189;476
36;1090;517
37;968;602
38;969;604
39;616;626
40;625;627
41;639;627
42;653;627
43;670;625
44;821;576
45;835;593
46;834;604
47;883;553
48;839;592
49;853;597
50;684;621
51;742;602
52;985;554
53;928;483
54;951;512
55;965;530
56;974;525
57;968;517
58;957;520
59;986;505
60;1024;482
61;1032;489
62;1016;483
63;972;467
64;957;457
65;924;437
66;842;504
67;870;494
68;979;470
69;982;619
70;925;429
71;1137;217
72;1125;211
73;856;521
74;885;555
75;936;494
76;448;559
77;631;213
78;725;273
79;802;332
80;867;370
81;884;376
82;891;381
83;915;417
84;931;424
85;1124;230
86;1040;351
87;1015;339
88;1110;379
89;1150;204
90;723;272
91;769;563
92;802;552
93;917;441
94;933;443
95;915;437
96;1005;479
97;1042;455
98;672;434
99;667;447
100;659;445
101;651;444
102;640;452
103;628;460
104;625;466
105;619;478
106;617;486
107;576;514
108;863;487
109;1015;487
110;866;429
111;879;435
112;879;437
113;875;447
114;871;452
115;819;444
116;809;443
117;798;464
118;793;477
119;744;470
120;731;455
121;852;492
122;833;472
123;821;467
124;829;527
125;456;556
126;490;457
127;620;396
128;617;406
129;612;422
130;611;423
131;653;233
132;646;237
133;642;241
134;640;245
135;639;248
136;644;258
137;651;271
138;657;284
139;660;292
140;657;301
141;652;312
142;640;320
143;634;325
144;631;333
145;629;217
146;608;229
147;606;231
148;605;234
149;631;285
150;631;290
151;594;331
152;757;316
153;758;332
154;716;300
155;720;351
156;696;311
157;699;352
158;676;321
159;678;353
160;770;308
161;790;300
162;796;299
163;828;298
164;866;299
165;681;295
166;673;295
167;667;293
168;661;289
169;632;354
170;718;351
171;739;341
172;745;338
173;784;319
174;693;291
175;738;312
176;761;301
177;657;353
178;656;338
179;661;329
180;667;326
181;706;282
182;693;291
183;666;305
184;820;358
185;832;366
186;821;371
187;793;382
188;720;400
189;724;390
190;733;391
191;688;391
192;667;391
193;633;365
194;684;364
195;703;375
196;706;377
197;708;381
198;704;384
199;701;389
200;699;395
201;831;351
202;810;363
203;794;354
204;788;354
205;779;358
206;759;357
207;750;360
208;743;360
209;741;361
