111424803;41.16345;-8.663129;-0.1512001;0.7184377
111830201;41.16253;-8.655945;-0.1510747;0.7184216
112290053;41.17509;-8.653272;-0.1510281;0.7186409
112290054;41.17482;-8.653547;-0.1510329;0.7186362
112291402;41.1753;-8.653004;-0.1510234;0.7186445
301110290;41.17294;-8.67433;-0.1513956;0.7186034
311887298;41.1618;-8.671358;-0.1513437;0.7184089
312402710;41.1616;-8.667327;-0.1512734;0.7184055
312402712;41.16313;-8.668368;-0.1512916;0.7184322
312402714;41.16323;-8.668439;-0.1512928;0.718434
312402715;41.16332;-8.668535;-0.1512945;0.7184355
312402718;41.16339;-8.668679;-0.151297;0.7184367
312402720;41.16385;-8.671498;-0.1513462;0.7184446
312402722;41.16336;-8.672115;-0.151357;0.7184362
312402725;41.16222;-8.672249;-0.1513593;0.7184163
314043528;41.16093;-8.658477;-0.1511189;0.7183937
314073914;41.1618;-8.660044;-0.1511463;0.7184089
314073915;41.16199;-8.660479;-0.1511539;0.7184123
314073917;41.16252;-8.661681;-0.1511749;0.7184215
314073918;41.16282;-8.662086;-0.1511819;0.7184266
314073919;41.16348;-8.662972;-0.1511974;0.7184381
314074036;41.16241;-8.661492;-0.1511716;0.7184196
408439364;41.16373;-8.662944;-0.1511969;0.7184426
408439365;41.17051;-8.657194;-0.1510965;0.7185609
409083012;41.1731;-8.655024;-0.1510587;0.7186062
410769896;41.17529;-8.660798;-0.1511594;0.7186444
410769897;41.17487;-8.660623;-0.1511564;0.718637
410769898;41.17277;-8.66046;-0.1511535;0.7186005
410769899;41.17234;-8.660299;-0.1511507;0.7185929
410769900;41.17198;-8.659965;-0.1511449;0.7185866
410769901;41.17068;-8.657522;-0.1511023;0.7185639
410769902;41.1706;-8.657357;-0.1510994;0.7185625
428217626;41.17283;-8.674192;-0.1513932;0.7186014
428217627;41.17244;-8.673674;-0.1513842;0.7185946
428217628;41.17216;-8.673332;-0.1513782;0.7185898
428217629;41.17172;-8.672701;-0.1513672;0.7185821
428217631;41.17144;-8.672112;-0.1513569;0.7185771
428217632;41.17114;-8.671622;-0.1513484;0.7185719
428217633;41.17092;-8.671313;-0.151343;0.7185681
428217634;41.17064;-8.670938;-0.1513364;0.7185633
428217636;41.16992;-8.670242;-0.1513243;0.7185507
428217637;41.16977;-8.669893;-0.1513182;0.7185479
428217638;41.16939;-8.669456;-0.1513105;0.7185414
428217640;41.16882;-8.668499;-0.1512938;0.7185315
428217641;41.1687;-8.668381;-0.1512918;0.7185295
428217642;41.16684;-8.666306;-0.1512556;0.7184968
428217648;41.16562;-8.664537;-0.1512247;0.7184756
428217651;41.16541;-8.664075;-0.1512166;0.7184719
428217652;41.16527;-8.663885;-0.1512133;0.7184694
428217655;41.16412;-8.663229;-0.1512019;0.7184495
428217657;41.1639;-8.662786;-0.1511941;0.7184455
429381406;41.1701;-8.657546;-0.1511027;0.7185538
429381407;41.16632;-8.649857;-0.1509685;0.7184879
429381408;41.16653;-8.651192;-0.1509918;0.7184916
429381416;41.16623;-8.65982;-0.1511424;0.7184862
429381417;41.16737;-8.658853;-0.1511255;0.7185061
429381418;41.16945;-8.657093;-0.1510948;0.7185425
429381419;41.16977;-8.656837;-0.1510903;0.718548
429432811;41.16699;-8.653996;-0.1510407;0.7184995
429432812;41.16719;-8.655173;-0.1510613;0.7185029
429432820;41.16659;-8.660516;-0.1511545;0.7184926
429432823;41.16533;-8.65794;-0.1511096;0.7184705
429432824;41.16725;-8.655796;-0.1510721;0.718504
429432825;41.16722;-8.656125;-0.1510779;0.7185035
429432826;41.16716;-8.656384;-0.1510824;0.7185026
429432827;41.16705;-8.656696;-0.1510879;0.7185005
429432828;41.16693;-8.656911;-0.1510916;0.7184985
429432829;41.16672;-8.657157;-0.1510959;0.7184948
429432831;41.16651;-8.657312;-0.1510986;0.7184912
429432832;41.16632;-8.657397;-0.1511001;0.7184879
429433589;41.17387;-8.66053;-0.1511548;0.7186195
429433590;41.17093;-8.65685;-0.1510905;0.7185682
429433591;41.17175;-8.657997;-0.1511106;0.7185825
429433592;41.17244;-8.658877;-0.1511259;0.7185947
429433593;41.17327;-8.659843;-0.1511428;0.7186092
429433594;41.17359;-8.660197;-0.151149;0.7186147
429433615;41.17354;-8.660501;-0.1511543;0.7186138
429541654;41.1762;-8.656878;-0.151091;0.7186603
429541655;41.1759;-8.656675;-0.1510875;0.7186549
429541656;41.17537;-8.656354;-0.1510819;0.7186458
429541657;41.17509;-8.656199;-0.1510792;0.7186409
429541658;41.17457;-8.655839;-0.1510729;0.7186318
429541669;41.17424;-8.655625;-0.1510692;0.718626
429541675;41.17395;-8.655453;-0.1510662;0.7186211
429541679;41.1735;-8.655265;-0.1510629;0.7186131
429541682;41.17331;-8.655144;-0.1510608;0.7186098
429542189;41.1743;-8.661982;-0.1511801;0.7186272
429542190;41.17409;-8.661998;-0.1511804;0.7186235
429542191;41.17368;-8.662182;-0.1511836;0.7186162
429542192;41.17319;-8.662508;-0.1511893;0.7186077
429542193;41.17273;-8.662896;-0.1511961;0.7185997
429542194;41.17144;-8.664675;-0.1512271;0.7185773
429542198;41.16875;-8.668436;-0.1512928;0.7185303
429544144;41.16972;-8.667079;-0.1512691;0.7185472
429544145;41.16927;-8.667717;-0.1512802;0.7185392
429544555;41.17623;-8.659381;-0.1511347;0.7186608
429544556;41.17614;-8.659537;-0.1511374;0.7186592
429544557;41.17547;-8.660805;-0.1511596;0.7186475
429544558;41.17535;-8.661034;-0.1511635;0.7186454
429544560;41.17501;-8.661698;-0.1511752;0.7186395
